"[0.014724723000094813, 17625.961180843966, 10813224.493561905]","[0.008875266419386076, 6995.268381241041, 12297677.943316884]","[0.017691347592886184, 17288.818681975135, 11055253.744637966]","[0.008420820576883425, 7565.0820428601855, 12971576.352845034]","[0.008690965023228617, 7181.992677708647, 11576106.792292885]","[0.016259213298967658, 17375.37683793235, 11081219.206850003]","[0.016649258831857104, 22038.20522801018, 9966064.329729393]","[0.010382428629967848, 6507.4888649314225, 11453910.810081858]","[0.010072885020975194, 6890.13329196757, 11260244.237145726]","[0.01004256873201518, 7469.017624711183, 11191600.003729874]","[0.009684578061864922, 7497.148926490514, 11376586.713002685]","[0.008763486232638415, 6943.348432673427, 11810939.6123938]","[0.007713124868069939, 7003.401469808537, 12379132.18547617]","[0.016371790657843506, 18996.332194383867, 10682320.89664741]","[0.00752144423250157, 6437.176142699869, 14113644.76361159]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.014724723000094813, 17625.961180843966, 10813224.493561905]","[0.017691347592886184, 17288.818681975135, 11055253.744637966]","[0.008690965023228617, 7181.992677708647, 11576106.792292885]","[0.016259213298967658, 17375.37683793235, 11081219.206850003]","[0.016649258831857104, 22038.20522801018, 9966064.329729393]","[0.010382428629967848, 6507.4888649314225, 11453910.810081858]","[0.010072885020975194, 6890.13329196757, 11260244.237145726]","[0.01004256873201518, 7469.017624711183, 11191600.003729874]","[0.009684578061864922, 7497.148926490514, 11376586.713002685]","[0.008763486232638415, 6943.348432673427, 11810939.6123938]","[0.007713124868069939, 7003.401469808537, 12379132.18547617]","[0.016371790657843506, 18996.332194383867, 10682320.89664741]","[0.00752144423250157, 6437.176142699869, 14113644.76361159]","[0.02058590290136777, 33570.40273664881, 9927859.011797952]","[0.014904962279880078, 18892.348811327596, 11106968.447880434]","[0.015213605933671187, 21492.97123659806, 10576873.175479399]","[0.00914274908876385, 7609.249237649345, 12824017.569747586]","[0.021104448235555486, 33550.236229949056, 9516781.279072754]","[0.009181077842530048, 7208.926850225248, 11863878.511320503]","[0.010147051902352182, 6473.377431949975, 11188509.150160082]","[0.017904716181543205, 21144.65770860947, 10617903.017802568]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.014724723000094813, 17625.961180843966, 10813224.493561905]","[0.017691347592886184, 17288.818681975135, 11055253.744637966]","[0.008690965023228617, 7181.992677708647, 11576106.792292885]","[0.016259213298967658, 17375.37683793235, 11081219.206850003]","[0.016649258831857104, 22038.20522801018, 9966064.329729393]","[0.010072885020975194, 6890.13329196757, 11260244.237145726]","[0.01004256873201518, 7469.017624711183, 11191600.003729874]","[0.009684578061864922, 7497.148926490514, 11376586.713002685]","[0.008763486232638415, 6943.348432673427, 11810939.6123938]","[0.007713124868069939, 7003.401469808537, 12379132.18547617]","[0.016371790657843506, 18996.332194383867, 10682320.89664741]","[0.00752144423250157, 6437.176142699869, 14113644.76361159]","[0.02058590290136777, 33570.40273664881, 9927859.011797952]","[0.015213605933671187, 21492.97123659806, 10576873.175479399]","[0.021104448235555486, 33550.236229949056, 9516781.279072754]","[0.010147051902352182, 6473.377431949975, 11188509.150160082]","[0.017904716181543205, 21144.65770860947, 10617903.017802568]","[0.008191399304901458, 6437.014500988464, 10721162.064243909]","[0.020001996429257794, 30571.24053319987, 10286937.387843063]","[0.008017341927247226, 6988.321389240496, 12168431.493178735]","[0.012854620856683324, 17629.802354600182, 10558825.539584015]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.016649258831857104, 22038.20522801018, 9966064.329729393]","[0.007713124868069939, 7003.401469808537, 12379132.18547617]","[0.00752144423250157, 6437.176142699869, 14113644.76361159]","[0.02058590290136777, 33570.40273664881, 9927859.011797952]","[0.021104448235555486, 33550.236229949056, 9516781.279072754]","[0.008191399304901458, 6437.014500988464, 10721162.064243909]","[0.008017341927247226, 6988.321389240496, 12168431.493178735]","[0.012854620856683324, 17629.802354600182, 10558825.539584015]","[0.014515145004102729, 18541.04577151779, 9908223.563463302]","[0.008399501812794731, 6906.214449838475, 11454846.846778473]","[0.013788887139984244, 17581.250572488585, 10863758.380024986]","[0.01579029471768657, 19602.553924750526, 9656635.787268661]","[0.015088670139732587, 21252.34272061329, 9887869.39887584]","[0.01717498486352544, 16663.24786258797, 11277094.350764126]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007713124868069939, 7003.401469808537, 12379132.18547617]","[0.00752144423250157, 6437.176142699869, 14113644.76361159]","[0.021104448235555486, 33550.236229949056, 9516781.279072754]","[0.008191399304901458, 6437.014500988464, 10721162.064243909]","[0.008017341927247226, 6988.321389240496, 12168431.493178735]","[0.012854620856683324, 17629.802354600182, 10558825.539584015]","[0.014515145004102729, 18541.04577151779, 9908223.563463302]","[0.01579029471768657, 19602.553924750526, 9656635.787268661]","[0.015088670139732587, 21252.34272061329, 9887869.39887584]","[0.010164318047970097, 9625.769840885185, 10250466.126881292]","[0.008831208471288906, 8946.47953553801, 12592610.965286674]","[0.009453949883257283, 8644.042104702688, 10932998.054392943]","[0.013312979086341749, 10515.238764593441, 9553176.288993502]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007713124868069939, 7003.401469808537, 12379132.18547617]","[0.00752144423250157, 6437.176142699869, 14113644.76361159]","[0.021104448235555486, 33550.236229949056, 9516781.279072754]","[0.008191399304901458, 6437.014500988464, 10721162.064243909]","[0.008017341927247226, 6988.321389240496, 12168431.493178735]","[0.010164318047970097, 9625.769840885185, 10250466.126881292]","[0.013312979086341749, 10515.238764593441, 9553176.288993502]","[0.007358631921174544, 7928.926682934759, 13012839.483805703]","[0.00845012087509725, 6491.9760039778685, 11288203.949902631]","[0.018826666499430475, 17121.84270351521, 11089322.718389282]","[0.022153669280513308, 38281.46189250161, 9832873.53661776]","[0.015974719266449892, 23084.363753829144, 10194825.920405736]","[0.017669214466375347, 20842.974276534413, 11087790.475955483]","[0.014855650563795933, 23347.621048055436, 11270415.145461522]","[0.02074366205111065, 30847.072007552575, 9852687.29862909]","[0.017000116905774413, 30856.301660354573, 9838200.468668137]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007713124868069939, 7003.401469808537, 12379132.18547617]","[0.00752144423250157, 6437.176142699869, 14113644.76361159]","[0.021104448235555486, 33550.236229949056, 9516781.279072754]","[0.008191399304901458, 6437.014500988464, 10721162.064243909]","[0.008017341927247226, 6988.321389240496, 12168431.493178735]","[0.010164318047970097, 9625.769840885185, 10250466.126881292]","[0.013312979086341749, 10515.238764593441, 9553176.288993502]","[0.007358631921174544, 7928.926682934759, 13012839.483805703]","[0.010134479829974802, 8749.6053557278, 11958168.175476238]","[0.010027135415917758, 8746.54472675444, 11994046.978913061]","[0.019645353138238335, 32998.122474651114, 9488531.545735281]","[0.012355033352467949, 8639.875612006528, 10963265.030444436]","[0.01017971710538244, 8732.863735589392, 11803878.858895198]","[0.00986588495110886, 8812.935408024077, 12710356.583135]","[0.014133626026653983, 19982.07091731807, 10467221.501468867]","[0.013178424658276873, 17936.294495896454, 10877501.758728774]","[0.019771554564131082, 21926.059599507687, 9862349.241392657]","[0.014484441394005284, 20709.485547275148, 10266069.849494988]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007713124868069939, 7003.401469808537, 12379132.18547617]","[0.00752144423250157, 6437.176142699869, 14113644.76361159]","[0.008191399304901458, 6437.014500988464, 10721162.064243909]","[0.008017341927247226, 6988.321389240496, 12168431.493178735]","[0.010164318047970097, 9625.769840885185, 10250466.126881292]","[0.013312979086341749, 10515.238764593441, 9553176.288993502]","[0.007358631921174544, 7928.926682934759, 13012839.483805703]","[0.019645353138238335, 32998.122474651114, 9488531.545735281]","[0.01727369807279562, 23222.89667063486, 10066621.748118142]","[0.009672108679073393, 8758.842353738892, 12012712.071581958]","[0.017053737174765472, 21975.803461011987, 10471216.81309075]","[0.010041141713692617, 8656.428425528638, 10980712.502489077]","[0.011333091600758707, 8625.959756390397, 10808567.93253042]","[0.00992328598390588, 8758.084705904945, 12085264.897954874]","[0.010346755570136914, 9919.608608909337, 10669177.584317505]","[0.016027894912733934, 21150.991197361196, 10611191.559449857]","[0.009363766435231402, 10041.547577533378, 11902608.903029174]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007713124868069939, 7003.401469808537, 12379132.18547617]","[0.00752144423250157, 6437.176142699869, 14113644.76361159]","[0.008191399304901458, 6437.014500988464, 10721162.064243909]","[0.008017341927247226, 6988.321389240496, 12168431.493178735]","[0.010164318047970097, 9625.769840885185, 10250466.126881292]","[0.013312979086341749, 10515.238764593441, 9553176.288993502]","[0.007358631921174544, 7928.926682934759, 13012839.483805703]","[0.019645353138238335, 32998.122474651114, 9488531.545735281]","[0.008372484288522455, 8776.963191659268, 12293845.133847784]","[0.017459973233373487, 16597.76604798709, 10588831.489180315]","[0.016129234576643694, 21981.705526017384, 10251634.653480694]","[0.008503526633300678, 8654.013479633888, 11020572.158214457]","[0.008683932702176843, 8624.060033291948, 10800362.794529378]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007713124868069939, 7003.401469808537, 12379132.18547617]","[0.00752144423250157, 6437.176142699869, 14113644.76361159]","[0.008191399304901458, 6437.014500988464, 10721162.064243909]","[0.008017341927247226, 6988.321389240496, 12168431.493178735]","[0.010164318047970097, 9625.769840885185, 10250466.126881292]","[0.013312979086341749, 10515.238764593441, 9553176.288993502]","[0.007358631921174544, 7928.926682934759, 13012839.483805703]","[0.019645353138238335, 32998.122474651114, 9488531.545735281]","[0.009906747010786289, 8566.889495771107, 10207450.864314135]","[0.012941713365623157, 17711.494968485815, 9799956.953268468]","[0.008494234562410777, 9176.677731753894, 12374929.750203872]","[0.009432402325343156, 8662.582476753563, 11167988.335236225]","[0.008798673838718478, 9030.683421532469, 10863195.9377863]","[0.00854523318347233, 8764.098497436466, 12170679.696717609]","[0.01547527954318821, 17709.89080180196, 10054302.321951414]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
