"[0.008966006923606834, 6840.51344611127, 11930937.37802562]","[0.008691296108288908, 7442.991121421301, 11674471.737042464]","[0.015079792396522289, 17202.788180416977, 10127077.960822936]","[0.008839501044923145, 6909.873249085036, 11443440.266431851]","[0.012849491929806178, 19869.628686680215, 10717262.679061823]","[0.009456927814218873, 7443.9674776248885, 10727310.33486545]","[0.007608082401940534, 7595.211023479564, 12327654.720498618]","[0.018061726604581586, 17159.821381177757, 10507678.432939766]","[0.008364532542445386, 7289.5115636162445, 12766931.210084775]","[0.013407980202752284, 18590.023479041305, 10043371.817895517]","[0.00764882469887893, 5598.416160925366, 13421263.532883756]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.008966006923606834, 6840.51344611127, 11930937.37802562]","[0.008691296108288908, 7442.991121421301, 11674471.737042464]","[0.015079792396522289, 17202.788180416977, 10127077.960822936]","[0.008839501044923145, 6909.873249085036, 11443440.266431851]","[0.012849491929806178, 19869.628686680215, 10717262.679061823]","[0.009456927814218873, 7443.9674776248885, 10727310.33486545]","[0.007608082401940534, 7595.211023479564, 12327654.720498618]","[0.018061726604581586, 17159.821381177757, 10507678.432939766]","[0.013407980202752284, 18590.023479041305, 10043371.817895517]","[0.010610633137097095, 7348.993525114219, 10788610.978562107]","[0.008984594564055684, 7447.275453207046, 10896988.762172028]","[0.008011125691402592, 7531.1411976002, 11635676.971108466]","[0.0074945987639908436, 5519.4300385925, 12609094.41378114]","[0.026736076976479343, 40331.749096407795, 9029203.497475676]","[0.009207487245347196, 6873.7965467167505, 10996642.236884043]","[0.008230157468907175, 7101.65107061586, 12384957.008893222]","[0.008870210324799918, 7488.681933578073, 11358393.621986605]","[0.00792331536844989, 7540.140471170519, 11707986.74763108]","[0.007209348012144722, 5526.932485741336, 12690214.072119784]","[0.00948710270370733, 6164.434397798524, 11317861.63883373]","[0.008231069690018876, 7089.650624643355, 12243168.744337803]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.008966006923606834, 6840.51344611127, 11930937.37802562]","[0.015079792396522289, 17202.788180416977, 10127077.960822936]","[0.008839501044923145, 6909.873249085036, 11443440.266431851]","[0.007608082401940534, 7595.211023479564, 12327654.720498618]","[0.008984594564055684, 7447.275453207046, 10896988.762172028]","[0.008011125691402592, 7531.1411976002, 11635676.971108466]","[0.0074945987639908436, 5519.4300385925, 12609094.41378114]","[0.009207487245347196, 6873.7965467167505, 10996642.236884043]","[0.008230157468907175, 7101.65107061586, 12384957.008893222]","[0.008870210324799918, 7488.681933578073, 11358393.621986605]","[0.00792331536844989, 7540.140471170519, 11707986.74763108]","[0.007209348012144722, 5526.932485741336, 12690214.072119784]","[0.00948710270370733, 6164.434397798524, 11317861.63883373]","[0.008231069690018876, 7089.650624643355, 12243168.744337803]","[0.01650813301842303, 21965.12231574334, 9755303.265331948]","[0.00853436286064181, 6943.830288691541, 11749232.268132202]","[0.013400280310877886, 16400.826470644784, 10420009.690058399]","[0.014711264869555544, 16365.786260528248, 10192789.252288887]","[0.026009565409678876, 40290.26738497192, 8362615.502597173]","[0.009148473387672842, 7141.018449862713, 11118329.123876689]","[0.009092652568232638, 7342.581294963922, 10668346.090395082]","[0.008441396951709184, 7459.1826236122615, 11901958.449603152]","[0.009207487245347196, 6873.7965467167505, 10996642.236884043]","[0.008870210324799918, 7488.681933578073, 11358393.621986605]","[0.008574320561066539, 6926.337463418716, 11584781.833376328]","[0.012558774174443652, 18039.901616122243, 10179747.820223905]","[0.00922553859903086, 6865.789715401177, 10895187.924594462]","[0.01296682018586564, 17240.283548674346, 9909404.319376882]","[0.009915916304840401, 7102.3751499216405, 10782011.798228145]","[0.009204000064971673, 6888.797869486036, 11130595.88171132]","[0.009177679746305192, 6816.506300945693, 11724930.322776087]","[0.00853635601878813, 6846.123211725675, 11971229.285157837]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.008966006923606834, 6840.51344611127, 11930937.37802562]","[0.015079792396522289, 17202.788180416977, 10127077.960822936]","[0.007608082401940534, 7595.211023479564, 12327654.720498618]","[0.008984594564055684, 7447.275453207046, 10896988.762172028]","[0.008011125691402592, 7531.1411976002, 11635676.971108466]","[0.0074945987639908436, 5519.4300385925, 12609094.41378114]","[0.009207487245347196, 6873.7965467167505, 10996642.236884043]","[0.00792331536844989, 7540.140471170519, 11707986.74763108]","[0.007209348012144722, 5526.932485741336, 12690214.072119784]","[0.00948710270370733, 6164.434397798524, 11317861.63883373]","[0.014711264869555544, 16365.786260528248, 10192789.252288887]","[0.026009565409678876, 40290.26738497192, 8362615.502597173]","[0.009092652568232638, 7342.581294963922, 10668346.090395082]","[0.008441396951709184, 7459.1826236122615, 11901958.449603152]","[0.009207487245347196, 6873.7965467167505, 10996642.236884043]","[0.012558774174443652, 18039.901616122243, 10179747.820223905]","[0.00922553859903086, 6865.789715401177, 10895187.924594462]","[0.01296682018586564, 17240.283548674346, 9909404.319376882]","[0.009177679746305192, 6816.506300945693, 11724930.322776087]","[0.013383068656393675, 18539.863457275704, 9338015.513716744]","[0.008016277844683922, 7072.13343516259, 12067660.06100689]","[0.009270712366256213, 6821.551449691508, 11706594.40271907]","[0.0068218876151550775, 5597.408782601664, 13427848.805465179]","[0.007172745826296026, 5578.421297524985, 13254514.528114155]","[0.008483663498776304, 6910.353147546617, 11375799.4007596]","[0.00928561971353904, 6812.298556127556, 10366756.202188337]","[0.008269030229910006, 6971.387273699154, 12109597.05743749]","[0.007462768125181161, 7248.522509902263, 12351153.738674097]","[0.008538251852594738, 6875.35354646952, 11039413.708576111]","[0.008325578832221849, 6227.651414189699, 11965100.521962583]","[0.007653716393336212, 7072.133380332849, 12067801.659927847]","[0.026735248606770377, 38804.90444935646, 9310731.310426818]","[0.007611169839018026, 7567.865392749598, 12178954.98556645]","[0.008082478042204647, 7465.580338042186, 11922466.991613952]","[0.008267131247355187, 6971.388176894859, 12143664.362709977]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.0074945987639908436, 5519.4300385925, 12609094.41378114]","[0.007209348012144722, 5526.932485741336, 12690214.072119784]","[0.026009565409678876, 40290.26738497192, 8362615.502597173]","[0.0068218876151550775, 5597.408782601664, 13427848.805465179]","[0.007172745826296026, 5578.421297524985, 13254514.528114155]","[0.007462768125181161, 7248.522509902263, 12351153.738674097]","[0.008538251852594738, 6875.35354646952, 11039413.708576111]","[0.008325578832221849, 6227.651414189699, 11965100.521962583]","[0.007653716393336212, 7072.133380332849, 12067801.659927847]","[0.008085055674480906, 7391.816264588001, 10262532.452472787]","[0.008120035674047984, 6834.615292673603, 11891998.835020423]","[0.007703660123679148, 7214.531560866698, 11970338.74023241]","[0.0073530718513735655, 7409.424878687323, 10426355.156128496]","[0.007462768125181161, 7248.522509902263, 12351153.738674097]","[0.008584667457008054, 6774.738713422352, 10037064.418866541]","[0.007209348012144722, 5526.932485741336, 12690214.072119784]","[0.007172745826296026, 5578.421297524985, 13254514.528114155]","[0.009555540536916087, 7290.0510424797485, 9183838.749369886]","[0.013880027283912527, 18480.372527478536, 8869129.862544522]","[0.007343899546217449, 7455.425565732214, 10911495.06441696]","[0.00933157520807524, 6147.933631762364, 11127979.720457716]","[0.007981339506426766, 6871.404005006851, 11097852.002884077]","[0.008761474136270441, 6774.715390150249, 10038687.891566236]","[0.007502489120738712, 5468.907631255495, 12090876.027796585]","[0.02676486717667268, 40261.25947324763, 8249338.851472944]","[0.00811318741719891, 7119.511151003688, 11036845.010340586]","[0.008717601684491262, 6755.039933840789, 11093206.510554729]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007209348012144722, 5526.932485741336, 12690214.072119784]","[0.026009565409678876, 40290.26738497192, 8362615.502597173]","[0.0073530718513735655, 7409.424878687323, 10426355.156128496]","[0.008584667457008054, 6774.738713422352, 10037064.418866541]","[0.007209348012144722, 5526.932485741336, 12690214.072119784]","[0.009555540536916087, 7290.0510424797485, 9183838.749369886]","[0.007343899546217449, 7455.425565732214, 10911495.06441696]","[0.008761474136270441, 6774.715390150249, 10038687.891566236]","[0.02676486717667268, 40261.25947324763, 8249338.851472944]","[0.015591714402067726, 23345.950239327507, 8728058.201009814]","[0.0074295375876386556, 7189.537637283461, 11759217.592833651]","[0.013581643427644868, 18477.899235620782, 8781601.854692657]","[0.0075142333789235466, 7160.516637794118, 11408314.664654879]","[0.006751527644830347, 5533.918399716893, 12755239.250358073]","[0.007367711665208278, 5477.934598193937, 12175289.265409058]","[0.009201680562851956, 7336.04451824888, 9668015.681344187]","[0.007588282228916146, 5298.324813852199, 10097303.042169895]","[0.0075500470907663925, 6848.489484056674, 10795019.342166785]","[0.007485118447357226, 5423.934051050583, 11642328.500355087]","[0.009235381122672819, 7235.025647288637, 9627599.369598817]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.026009565409678876, 40290.26738497192, 8362615.502597173]","[0.0073530718513735655, 7409.424878687323, 10426355.156128496]","[0.008584667457008054, 6774.738713422352, 10037064.418866541]","[0.009555540536916087, 7290.0510424797485, 9183838.749369886]","[0.007343899546217449, 7455.425565732214, 10911495.06441696]","[0.008761474136270441, 6774.715390150249, 10038687.891566236]","[0.02676486717667268, 40261.25947324763, 8249338.851472944]","[0.013581643427644868, 18477.899235620782, 8781601.854692657]","[0.006751527644830347, 5533.918399716893, 12755239.250358073]","[0.007588282228916146, 5298.324813852199, 10097303.042169895]","[0.0075500470907663925, 6848.489484056674, 10795019.342166785]","[0.007485118447357226, 5423.934051050583, 11642328.500355087]","[0.009235381122672819, 7235.025647288637, 9627599.369598817]","[0.007248013055799503, 6899.411762758982, 11313199.02246365]","[0.008709794949955585, 7235.079961031065, 9627684.967426531]","[0.009555540536916087, 7290.0510424797485, 9183838.749369886]","[0.007573908460299113, 5381.408379439617, 11186917.694195738]","[0.008591788050811809, 7321.259519494156, 9809292.62896018]","[0.02050978165540251, 31785.38252049437, 8440368.81904671]","[0.00729045857392374, 5194.495265660179, 12888446.835550593]","[0.008023156716447216, 7368.32523254304, 9983916.396247545]","[0.007169505706301236, 5431.9502434958995, 11703402.117306085]","[0.013785299577839718, 18466.36061758256, 8652396.20353367]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.02676486717667268, 40261.25947324763, 8249338.851472944]","[0.006751527644830347, 5533.918399716893, 12755239.250358073]","[0.007588282228916146, 5298.324813852199, 10097303.042169895]","[0.007485118447357226, 5423.934051050583, 11642328.500355087]","[0.009235381122672819, 7235.025647288637, 9627599.369598817]","[0.007248013055799503, 6899.411762758982, 11313199.02246365]","[0.008709794949955585, 7235.079961031065, 9627684.967426531]","[0.007573908460299113, 5381.408379439617, 11186917.694195738]","[0.00729045857392374, 5194.495265660179, 12888446.835550593]","[0.007169505706301236, 5431.9502434958995, 11703402.117306085]","[0.013785299577839718, 18466.36061758256, 8652396.20353367]","[0.00748843521382213, 5410.898765696107, 11510099.369951004]","[0.013483690948943718, 16267.806368429481, 8927058.009544456]","[0.007445674136842586, 7340.435837980493, 9789840.650175117]","[0.013363060329288223, 18471.90980670392, 8768084.8427111]","[0.008332518716990608, 7254.1875959633735, 9768453.118679054]","[0.009235381122672819, 7235.025647288637, 9627599.369598817]","[0.009495776171982115, 7188.07144042243, 9144483.115863863]","[0.007536429728588392, 6794.421954080871, 10202463.96834007]","[0.007428485496249786, 6164.121077821108, 11431101.985710213]","[0.0072107734024340776, 7353.442854893367, 9850535.66444799]","[0.008271620607012496, 5281.342872569915, 9904763.599286951]","[0.006789103786810519, 5490.924822975863, 12384557.510988692]","[0.01625696276510948, 23420.506151444508, 8340936.258025907]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007588282228916146, 5298.324813852199, 10097303.042169895]","[0.009235381122672819, 7235.025647288637, 9627599.369598817]","[0.007248013055799503, 6899.411762758982, 11313199.02246365]","[0.008709794949955585, 7235.079961031065, 9627684.967426531]","[0.00729045857392374, 5194.495265660179, 12888446.835550593]","[0.013483690948943718, 16267.806368429481, 8927058.009544456]","[0.007445674136842586, 7340.435837980493, 9789840.650175117]","[0.008332518716990608, 7254.1875959633735, 9768453.118679054]","[0.009235381122672819, 7235.025647288637, 9627599.369598817]","[0.009495776171982115, 7188.07144042243, 9144483.115863863]","[0.007536429728588392, 6794.421954080871, 10202463.96834007]","[0.0072107734024340776, 7353.442854893367, 9850535.66444799]","[0.008271620607012496, 5281.342872569915, 9904763.599286951]","[0.008610411144594187, 7307.585568643217, 9366826.247092007]","[0.01339345239202963, 18427.931074900232, 8249215.653857007]","[0.013274919797533171, 18448.414932232132, 8565195.562411722]","[0.013483690948943718, 16267.806368429481, 8927058.009544456]","[0.007536429728588392, 6794.421954080871, 10202463.96834007]","[0.010457566276839341, 6718.292908159992, 9570812.993234757]","[0.007406097360764157, 5352.429104552503, 10905499.770018145]","[0.007372098681032653, 7342.437718821226, 9798375.332813982]","[0.021848268192523463, 32862.5521516693, 8231179.244846309]","[0.006683317671529139, 5399.902654842284, 11430519.24238533]","[0.00854540391617062, 7307.567066042626, 9367469.18778218]","[0.007280314415218951, 5468.658683629882, 10650771.273532739]","[0.013200646291695262, 18458.41837629874, 8746942.919876412]","[0.010448613782028986, 6733.295553698561, 9705416.540682023]","[0.007034448484482027, 5546.209091180986, 11385156.632420164]","[0.021133926603334866, 32866.618963267276, 8246114.495627204]","[0.006630916540502134, 5415.404449414729, 11572616.091059998]","[0.0073715680973111914, 5361.911087333017, 11032481.945574377]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007588282228916146, 5298.324813852199, 10097303.042169895]","[0.007248013055799503, 6899.411762758982, 11313199.02246365]","[0.00729045857392374, 5194.495265660179, 12888446.835550593]","[0.0072107734024340776, 7353.442854893367, 9850535.66444799]","[0.008271620607012496, 5281.342872569915, 9904763.599286951]","[0.01339345239202963, 18427.931074900232, 8249215.653857007]","[0.013274919797533171, 18448.414932232132, 8565195.562411722]","[0.010457566276839341, 6718.292908159992, 9570812.993234757]","[0.007406097360764157, 5352.429104552503, 10905499.770018145]","[0.007372098681032653, 7342.437718821226, 9798375.332813982]","[0.021848268192523463, 32862.5521516693, 8231179.244846309]","[0.006683317671529139, 5399.902654842284, 11430519.24238533]","[0.007280314415218951, 5468.658683629882, 10650771.273532739]","[0.013200646291695262, 18458.41837629874, 8746942.919876412]","[0.010448613782028986, 6733.295553698561, 9705416.540682023]","[0.007034448484482027, 5546.209091180986, 11385156.632420164]","[0.006630916540502134, 5415.404449414729, 11572616.091059998]","[0.0073715680973111914, 5361.911087333017, 11032481.945574377]","[0.007584994943072044, 5313.326136621484, 10235717.167194149]","[0.00837976569241132, 7156.644236449763, 8765415.536676826]","[0.007597928994295318, 6769.391567686646, 9942485.094095076]","[0.007656157369200559, 7302.287911008739, 9366658.080070104]","[0.014787318686748886, 18419.93467758273, 8306220.938218101]","[0.006551945392949813, 5425.920639856979, 11700136.542538134]","[0.007034448484482027, 5546.209091180986, 11385156.632420164]","[0.00729045857392374, 5194.495265660179, 12888446.835550593]","[0.008008775949858783, 7212.059285348997, 9262845.439324897]","[0.008333319485708243, 5264.821437003828, 9714400.322653566]","[0.006630916540502134, 5415.404449414729, 11572616.091059998]","[0.007675169506758612, 7271.399032365249, 9042159.997984195]","[0.0064454504067351275, 6256.259760263529, 12245810.115525436]","[0.007410506836507166, 7314.288362779416, 9464344.275322393]","[0.00793287717523692, 6748.914983444435, 9785634.564244224]","[0.007238486264678904, 5533.17561151046, 11353059.32122379]","[0.007267555939462757, 6775.480434297831, 10059139.619859753]","[0.020196930538392638, 31758.93450214739, 8239930.268796673]","[0.007716006510254876, 7260.899498471576, 8946631.569064267]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007588282228916146, 5298.324813852199, 10097303.042169895]","[0.01339345239202963, 18427.931074900232, 8249215.653857007]","[0.006683317671529139, 5399.902654842284, 11430519.24238533]","[0.013200646291695262, 18458.41837629874, 8746942.919876412]","[0.006630916540502134, 5415.404449414729, 11572616.091059998]","[0.007584994943072044, 5313.326136621484, 10235717.167194149]","[0.00837976569241132, 7156.644236449763, 8765415.536676826]","[0.007597928994295318, 6769.391567686646, 9942485.094095076]","[0.014787318686748886, 18419.93467758273, 8306220.938218101]","[0.006551945392949813, 5425.920639856979, 11700136.542538134]","[0.006630916540502134, 5415.404449414729, 11572616.091059998]","[0.007675169506758612, 7271.399032365249, 9042159.997984195]","[0.0064454504067351275, 6256.259760263529, 12245810.115525436]","[0.007410506836507166, 7314.288362779416, 9464344.275322393]","[0.00793287717523692, 6748.914983444435, 9785634.564244224]","[0.007267555939462757, 6775.480434297831, 10059139.619859753]","[0.007716006510254876, 7260.899498471576, 8946631.569064267]","[0.006695479696565993, 5432.811785224673, 10184196.139653843]","[0.007103450471043156, 4943.031214378012, 10374711.590660727]","[0.013879537166139794, 18427.35327077363, 8205138.635253222]","[0.007593093251264853, 7217.618468047738, 9344989.166222274]","[0.013240604966236283, 18431.91454921405, 8331064.484188338]","[0.008204284051300168, 5264.341634730594, 9713758.178258808]","[0.014787318686748886, 18419.93467758273, 8306220.938218101]","[0.00792120491216649, 7168.556366745371, 8834115.423687067]","[0.00710393218345816, 4943.031007794418, 10374883.880156323]","[0.00700086602744377, 7327.911905932261, 9530404.416111091]","[0.007592567129666585, 7268.11877938095, 9837928.790299483]","[0.008073022413494217, 6688.296666087493, 9151877.804162776]","[0.0068148774281712576, 5328.823637014364, 12200653.051002461]","[0.013530226174723499, 20790.35401583898, 8100639.247304801]","[0.009263032531179917, 6001.566881027977, 9710683.107891696]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.01339345239202963, 18427.931074900232, 8249215.653857007]","[0.006683317671529139, 5399.902654842284, 11430519.24238533]","[0.006630916540502134, 5415.404449414729, 11572616.091059998]","[0.00837976569241132, 7156.644236449763, 8765415.536676826]","[0.014787318686748886, 18419.93467758273, 8306220.938218101]","[0.006551945392949813, 5425.920639856979, 11700136.542538134]","[0.006630916540502134, 5415.404449414729, 11572616.091059998]","[0.007103450471043156, 4943.031214378012, 10374711.590660727]","[0.013879537166139794, 18427.35327077363, 8205138.635253222]","[0.013240604966236283, 18431.91454921405, 8331064.484188338]","[0.014787318686748886, 18419.93467758273, 8306220.938218101]","[0.00792120491216649, 7168.556366745371, 8834115.423687067]","[0.00710393218345816, 4943.031007794418, 10374883.880156323]","[0.00700086602744377, 7327.911905932261, 9530404.416111091]","[0.013530226174723499, 20790.35401583898, 8100639.247304801]","[0.006426286228841114, 5339.820523051998, 12292291.611602094]","[0.013583162923404451, 18420.89818598891, 8243395.871416249]","[0.007274795987818465, 6694.976154656766, 9295647.598442001]","[0.0068561008856798345, 4994.991125282794, 10887276.083915392]","[0.014785550126070917, 18419.93563968352, 8306166.202744327]","[0.006248413124561064, 5440.913650463361, 11863534.20406132]","[0.013416085734188772, 16218.8173063091, 8443839.316706413]","[0.007521577748380823, 5249.826881342208, 9613686.37373111]","[0.01554098503876522, 21831.667282559767, 7622997.350164254]","[0.006650770574927263, 5416.311402206593, 9997139.066272024]","[0.006683317671529139, 5399.902654842284, 11430519.24238533]","[0.007661548798215529, 4899.208652424655, 10206860.821270231]","[0.00739370020229785, 7241.898989354395, 8765734.106851283]","[0.008111261740771643, 6682.303438465903, 9126526.198811825]","[0.0074728677321445214, 5317.877329958987, 10201562.025412925]","[0.013231773767233595, 16228.342149053426, 8616526.826497708]","[0.007607268380854533, 5203.817196392915, 9134381.874869293]","[0.013032813930707042, 18435.46638476057, 8450691.209659403]","[0.007568791754488687, 6686.407876035621, 9161718.64121229]","[0.006522857076328869, 5077.4773839925165, 11746008.573193625]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
